neighborhood,Borough,season,sighting_count,Borough_encoded,season_encoded,neighborhood_encoded,cluster,risk_level
Norwood,BRONX,Winter,218,0,3,196,1,Medium
Oakland Gardens,QUEENS,Fall,8,3,0,197,0,Low
Oakland Gardens,QUEENS,Spring,8,3,1,197,0,Low
Oakland Gardens,QUEENS,Summer,9,3,2,197,0,Low
Oakland Gardens,QUEENS,Winter,5,3,3,197,0,Low
Oakwood,STATEN ISLAND,Fall,29,4,0,198,0,Low
Oakwood,STATEN ISLAND,Spring,21,4,1,198,0,Low
Oakwood,STATEN ISLAND,Summer,42,4,2,198,0,Low
Oakwood,STATEN ISLAND,Winter,10,4,3,198,0,Low
Ocean Hill,BROOKLYN,Fall,396,1,0,199,1,Medium
Ocean Hill,BROOKLYN,Spring,505,1,1,199,1,Medium
Ocean Hill,BROOKLYN,Summer,503,1,2,199,1,Medium
Ocean Hill,BROOKLYN,Winter,329,1,3,199,1,Medium
Ozone Park,QUEENS,Fall,72,3,0,200,0,Low
Ozone Park,QUEENS,Spring,78,3,1,200,0,Low
Ozone Park,QUEENS,Summer,68,3,2,200,0,Low
Ozone Park,QUEENS,Winter,28,3,3,200,0,Low
Park Hill,STATEN ISLAND,Fall,8,4,0,201,0,Low
Park Hill,STATEN ISLAND,Spring,40,4,1,201,0,Low
Park Hill,STATEN ISLAND,Summer,20,4,2,201,0,Low
Park Hill,STATEN ISLAND,Winter,3,4,3,201,0,Low
Park Slope,BROOKLYN,Fall,495,1,0,202,1,Medium
Park Slope,BROOKLYN,Spring,762,1,1,202,2,High
Park Slope,BROOKLYN,Summer,730,1,2,202,2,High
Park Slope,BROOKLYN,Winter,427,1,3,202,1,Medium
Parkchester,BRONX,Fall,32,0,0,203,1,Medium
Parkchester,BRONX,Spring,24,0,1,203,1,Medium
Parkchester,BRONX,Summer,53,0,2,203,1,Medium
Parkchester,BRONX,Winter,29,0,3,203,1,Medium
Pelham Bay,BRONX,Fall,69,0,0,204,1,Medium
Pelham Bay,BRONX,Spring,53,0,1,204,1,Medium
Pelham Bay,BRONX,Summer,56,0,2,204,1,Medium
Pelham Bay,BRONX,Winter,41,0,3,204,1,Medium
Pelham Gardens,BRONX,Fall,17,0,0,205,1,Medium
Pelham Gardens,BRONX,Spring,24,0,1,205,1,Medium
Pelham Gardens,BRONX,Summer,41,0,2,205,1,Medium
Pelham Gardens,BRONX,Winter,2,0,3,205,1,Medium
Pelham Parkway,BRONX,Fall,1,0,0,206,1,Medium
Pelham Parkway,BRONX,Spring,1,0,1,206,1,Medium
Pelham Parkway,BRONX,Summer,1,0,2,206,1,Medium
Peter Cooper Village,MANHATTAN,Fall,6,2,0,207,1,Medium
Peter Cooper Village,MANHATTAN,Spring,3,2,1,207,0,Low
Peter Cooper Village,MANHATTAN,Summer,4,2,2,207,0,Low
Peter Cooper Village,MANHATTAN,Winter,6,2,3,207,0,Low
Pomonok,QUEENS,Fall,3,3,0,208,0,Low
Pomonok,QUEENS,Summer,3,3,2,208,0,Low
Pomonok,QUEENS,Winter,3,3,3,208,0,Low
Port Morris,BRONX,Fall,4,0,0,209,1,Medium
Port Morris,BRONX,Spring,3,0,1,209,1,Medium
Port Morris,BRONX,Summer,5,0,2,209,1,Medium
Port Morris,BRONX,Winter,2,0,3,209,1,Medium
Port Richmond,STATEN ISLAND,Fall,50,4,0,210,0,Low
Port Richmond,STATEN ISLAND,Spring,80,4,1,210,0,Low
Port Richmond,STATEN ISLAND,Summer,87,4,2,210,0,Low
Port Richmond,STATEN ISLAND,Winter,36,4,3,210,0,Low
Prince's Bay,STATEN ISLAND,Fall,10,4,0,211,0,Low
Prince's Bay,STATEN ISLAND,Spring,6,4,1,211,0,Low
Prince's Bay,STATEN ISLAND,Summer,36,4,2,211,0,Low
Prince's Bay,STATEN ISLAND,Winter,8,4,3,211,0,Low
Prospect Heights,BROOKLYN,Fall,207,1,0,212,1,Medium
Prospect Heights,BROOKLYN,Spring,312,1,1,212,1,Medium
Prospect Heights,BROOKLYN,Summer,296,1,2,212,1,Medium
Prospect Heights,BROOKLYN,Winter,212,1,3,212,1,Medium
Prospect Lefferts Gardens,BROOKLYN,Fall,148,1,0,213,1,Medium
Prospect Lefferts Gardens,BROOKLYN,Spring,216,1,1,213,1,Medium
Prospect Lefferts Gardens,BROOKLYN,Summer,186,1,2,213,1,Medium
Prospect Lefferts Gardens,BROOKLYN,Winter,93,1,3,213,1,Medium
Queens Village,QUEENS,Fall,29,3,0,214,0,Low
Queens Village,QUEENS,Spring,44,3,1,214,0,Low
Queens Village,QUEENS,Summer,32,3,2,214,0,Low
Queens Village,QUEENS,Winter,16,3,3,214,0,Low
Queensboro Hill,QUEENS,Fall,1,3,0,215,0,Low
Queensboro Hill,QUEENS,Spring,1,3,1,215,0,Low
Queensboro Hill,QUEENS,Summer,4,3,2,215,0,Low
Randall Manor,STATEN ISLAND,Fall,19,4,0,216,0,Low
Randall Manor,STATEN ISLAND,Spring,32,4,1,216,0,Low
Randall Manor,STATEN ISLAND,Summer,37,4,2,216,0,Low
Randall Manor,STATEN ISLAND,Winter,11,4,3,216,0,Low
Randalls Island,MANHATTAN,Fall,2,2,0,217,1,Medium
Red Hook,BROOKLYN,Fall,99,1,0,218,1,Medium
Red Hook,BROOKLYN,Spring,61,1,1,218,1,Medium
Red Hook,BROOKLYN,Summer,125,1,2,218,1,Medium
Red Hook,BROOKLYN,Winter,47,1,3,218,1,Medium
Rego Park,QUEENS,Fall,77,3,0,219,0,Low
Rego Park,QUEENS,Spring,149,3,1,219,0,Low
Rego Park,QUEENS,Summer,171,3,2,219,0,Low
Rego Park,QUEENS,Winter,73,3,3,219,0,Low
Richmond,STATEN ISLAND,Fall,15,4,0,220,0,Low
Richmond,STATEN ISLAND,Spring,20,4,1,220,0,Low
Richmond,STATEN ISLAND,Summer,24,4,2,220,0,Low
Richmond,STATEN ISLAND,Winter,6,4,3,220,0,Low
Richmond Hill,QUEENS,Fall,30,3,0,221,0,Low
Richmond Hill,QUEENS,Spring,22,3,1,221,0,Low
Richmond Hill,QUEENS,Summer,42,3,2,221,0,Low
Richmond Hill,QUEENS,Winter,26,3,3,221,0,Low
Ridgewood,BROOKLYN,Fall,5,1,0,222,1,Medium
Ridgewood,BROOKLYN,Spring,4,1,1,222,1,Medium
Ridgewood,BROOKLYN,Summer,4,1,2,222,1,Medium
Ridgewood,BROOKLYN,Winter,4,1,3,222,1,Medium
Ridgewood,QUEENS,Fall,262,3,0,222,0,Low
Ridgewood,QUEENS,Spring,307,3,1,222,0,Low
Ridgewood,QUEENS,Summer,320,3,2,222,0,Low
Ridgewood,QUEENS,Winter,250,3,3,222,0,Low
Riverdale,BRONX,Fall,27,0,0,223,1,Medium
Riverdale,BRONX,Spring,21,0,1,223,1,Medium
Riverdale,BRONX,Summer,40,0,2,223,1,Medium
Riverdale,BRONX,Winter,26,0,3,223,1,Medium
Rochdale Village,QUEENS,Fall,4,3,0,224,0,Low
Rochdale Village,QUEENS,Spring,10,3,1,224,0,Low
Rochdale Village,QUEENS,Summer,9,3,2,224,0,Low
Rochdale Village,QUEENS,Winter,2,3,3,224,0,Low
Rockaway Beach,QUEENS,Fall,2,3,0,225,0,Low
Rockaway Beach,QUEENS,Spring,5,3,1,225,0,Low
Rockaway Beach,QUEENS,Summer,7,3,2,225,0,Low
Rockaway Park,QUEENS,Fall,21,3,0,226,0,Low
Rockaway Park,QUEENS,Spring,16,3,1,226,0,Low
Rockaway Park,QUEENS,Summer,39,3,2,226,0,Low
Rockaway Park,QUEENS,Winter,14,3,3,226,0,Low
Roosevelt Island,MANHATTAN,Fall,4,2,0,227,1,Medium
Roosevelt Island,MANHATTAN,Spring,2,2,1,227,0,Low
Roosevelt Island,MANHATTAN,Summer,1,2,2,227,0,Low
Roosevelt Island,MANHATTAN,Winter,2,2,3,227,0,Low
Rose Hill,MANHATTAN,Fall,11,2,0,228,1,Medium
Rose Hill,MANHATTAN,Spring,21,2,1,228,0,Low
Rose Hill,MANHATTAN,Summer,15,2,2,228,0,Low
Rose Hill,MANHATTAN,Winter,15,2,3,228,0,Low
Rosebank,STATEN ISLAND,Fall,33,4,0,229,0,Low
Rosebank,STATEN ISLAND,Spring,29,4,1,229,0,Low
Rosebank,STATEN ISLAND,Summer,44,4,2,229,0,Low
Rosebank,STATEN ISLAND,Winter,11,4,3,229,0,Low
Rosedale,QUEENS,Fall,1,3,0,230,0,Low
Rosedale,QUEENS,Spring,1,3,1,230,0,Low
Rosedale,QUEENS,Summer,6,3,2,230,0,Low
Rosedale,QUEENS,Winter,3,3,3,230,0,Low
Rossville,STATEN ISLAND,Fall,11,4,0,231,0,Low
Rossville,STATEN ISLAND,Spring,27,4,1,231,0,Low
Rossville,STATEN ISLAND,Summer,24,4,2,231,0,Low
Rossville,STATEN ISLAND,Winter,10,4,3,231,0,Low
Seagate,BROOKLYN,Fall,8,1,0,232,1,Medium
Seagate,BROOKLYN,Spring,5,1,1,232,1,Medium
Seagate,BROOKLYN,Summer,6,1,2,232,1,Medium
Seagate,BROOKLYN,Winter,2,1,3,232,1,Medium
Seaport,MANHATTAN,Fall,12,2,0,233,1,Medium
Seaport,MANHATTAN,Spring,9,2,1,233,0,Low
Seaport,MANHATTAN,Summer,6,2,2,233,0,Low
Seaport,MANHATTAN,Winter,8,2,3,233,0,Low
Seaside,QUEENS,Summer,3,3,2,234,0,Low
Sheepshead Bay,BROOKLYN,Fall,136,1,0,235,1,Medium
Sheepshead Bay,BROOKLYN,Spring,164,1,1,235,1,Medium
Sheepshead Bay,BROOKLYN,Summer,149,1,2,235,1,Medium
Sheepshead Bay,BROOKLYN,Winter,84,1,3,235,1,Medium
Shore Acres,STATEN ISLAND,Spring,2,4,1,236,0,Low
Shore Acres,STATEN ISLAND,Summer,1,4,2,236,0,Low
Shore Acres,STATEN ISLAND,Winter,1,4,3,236,0,Low
Silver Lake,STATEN ISLAND,Fall,1,4,0,237,0,Low
Silver Lake,STATEN ISLAND,Spring,11,4,1,237,0,Low
Silver Lake,STATEN ISLAND,Summer,1,4,2,237,0,Low
Silver Lake,STATEN ISLAND,Winter,3,4,3,237,0,Low
SoHo,MANHATTAN,Fall,43,2,0,238,1,Medium
SoHo,MANHATTAN,Spring,67,2,1,238,0,Low
SoHo,MANHATTAN,Summer,70,2,2,238,0,Low
SoHo,MANHATTAN,Winter,49,2,3,238,0,Low
South Beach,STATEN ISLAND,Fall,2,4,0,239,0,Low
South Beach,STATEN ISLAND,Spring,7,4,1,239,0,Low
South Beach,STATEN ISLAND,Summer,6,4,2,239,0,Low
South Beach,STATEN ISLAND,Winter,1,4,3,239,0,Low
South Jamaica,QUEENS,Fall,10,3,0,240,0,Low
South Jamaica,QUEENS,Spring,38,3,1,240,0,Low
South Jamaica,QUEENS,Summer,6,3,2,240,0,Low
South Jamaica,QUEENS,Winter,13,3,3,240,0,Low
South Ozone Park,QUEENS,Fall,31,3,0,241,0,Low
South Ozone Park,QUEENS,Spring,38,3,1,241,0,Low
South Ozone Park,QUEENS,Summer,68,3,2,241,0,Low
South Ozone Park,QUEENS,Winter,16,3,3,241,0,Low
South Richmond Hill,QUEENS,Fall,84,3,0,242,0,Low
South Richmond Hill,QUEENS,Spring,94,3,1,242,0,Low
South Richmond Hill,QUEENS,Summer,92,3,2,242,0,Low
South Richmond Hill,QUEENS,Winter,53,3,3,242,0,Low
South Side,BRONX,Summer,1,0,2,243,1,Medium
South Slope,BROOKLYN,Fall,6,1,0,244,1,Medium
South Slope,BROOKLYN,Spring,9,1,1,244,1,Medium
South Slope,BROOKLYN,Summer,14,1,2,244,1,Medium
South Slope,BROOKLYN,Winter,7,1,3,244,1,Medium
South Village,MANHATTAN,Fall,63,2,0,245,1,Medium
South Village,MANHATTAN,Spring,93,2,1,245,0,Low
South Village,MANHATTAN,Summer,87,2,2,245,0,Low
South Village,MANHATTAN,Winter,72,2,3,245,0,Low
Southeast Annadale,STATEN ISLAND,Fall,3,4,0,246,0,Low
Southeast Annadale,STATEN ISLAND,Spring,2,4,1,246,0,Low
Southeast Annadale,STATEN ISLAND,Summer,3,4,2,246,0,Low
Southeast Annadale,STATEN ISLAND,Winter,3,4,3,246,0,Low
Southeast Yonkers,BRONX,Spring,1,0,1,247,1,Medium
Southeast Yonkers,BRONX,Summer,1,0,2,247,1,Medium
Southeast Yonkers,BRONX,Winter,3,0,3,247,1,Medium
Southside,BROOKLYN,Fall,241,1,0,248,1,Medium
Southside,BROOKLYN,Spring,246,1,1,248,1,Medium
Southside,BROOKLYN,Summer,313,1,2,248,1,Medium
Southside,BROOKLYN,Winter,149,1,3,248,1,Medium
Spring Creek,BROOKLYN,Fall,4,1,0,249,1,Medium
Spring Creek,BROOKLYN,Spring,4,1,1,249,1,Medium
Spring Creek,BROOKLYN,Summer,19,1,2,249,1,Medium
Spring Creek,BROOKLYN,Winter,4,1,3,249,1,Medium
Springfield Gardens,QUEENS,Fall,4,3,0,250,0,Low
Springfield Gardens,QUEENS,Spring,8,3,1,250,0,Low
Springfield Gardens,QUEENS,Summer,2,3,2,250,0,Low
Springfield Gardens,QUEENS,Winter,4,3,3,250,0,Low
Spuyten Duyvil,BRONX,Fall,17,0,0,251,1,Medium
Spuyten Duyvil,BRONX,Spring,33,0,1,251,1,Medium
Spuyten Duyvil,BRONX,Summer,47,0,2,251,1,Medium
Spuyten Duyvil,BRONX,Winter,9,0,3,251,1,Medium
St. Albans,QUEENS,Fall,17,3,0,252,0,Low
St. Albans,QUEENS,Spring,51,3,1,252,0,Low
St. Albans,QUEENS,Summer,43,3,2,252,0,Low
St. Albans,QUEENS,Winter,18,3,3,252,0,Low
Stapleton Heights,STATEN ISLAND,Fall,16,4,0,253,0,Low
Stapleton Heights,STATEN ISLAND,Spring,24,4,1,253,0,Low
Stapleton Heights,STATEN ISLAND,Summer,26,4,2,253,0,Low
Stapleton Heights,STATEN ISLAND,Winter,19,4,3,253,0,Low
Starrett City,BROOKLYN,Fall,19,1,0,254,1,Medium
Starrett City,BROOKLYN,Spring,17,1,1,254,1,Medium
Starrett City,BROOKLYN,Summer,14,1,2,254,1,Medium
Starrett City,BROOKLYN,Winter,8,1,3,254,1,Medium
Staten Island,STATEN ISLAND,Fall,11,4,0,255,0,Low
Staten Island,STATEN ISLAND,Spring,10,4,1,255,0,Low
Staten Island,STATEN ISLAND,Summer,8,4,2,255,0,Low
Staten Island,STATEN ISLAND,Winter,9,4,3,255,0,Low
Strivers' Row,MANHATTAN,Fall,8,2,0,256,1,Medium
Strivers' Row,MANHATTAN,Spring,14,2,1,256,0,Low
Strivers' Row,MANHATTAN,Summer,5,2,2,256,0,Low
Strivers' Row,MANHATTAN,Winter,5,2,3,256,0,Low
Stuyvesant Heights,BROOKLYN,Fall,62,1,0,257,1,Medium
Stuyvesant Heights,BROOKLYN,Spring,129,1,1,257,1,Medium
Stuyvesant Heights,BROOKLYN,Summer,164,1,2,257,1,Medium
Stuyvesant Heights,BROOKLYN,Winter,84,1,3,257,1,Medium
Stuyvesant Town-Peter Cooper Village,MANHATTAN,Fall,20,2,0,258,1,Medium
Stuyvesant Town-Peter Cooper Village,MANHATTAN,Spring,9,2,1,258,0,Low
Stuyvesant Town-Peter Cooper Village,MANHATTAN,Summer,12,2,2,258,0,Low
Stuyvesant Town-Peter Cooper Village,MANHATTAN,Winter,11,2,3,258,0,Low
Sugar Hill,MANHATTAN,Fall,134,2,0,259,1,Medium
Sugar Hill,MANHATTAN,Spring,130,2,1,259,0,Low
Sugar Hill,MANHATTAN,Summer,169,2,2,259,0,Low
Sugar Hill,MANHATTAN,Winter,100,2,3,259,0,Low
Sunnyside,QUEENS,Fall,74,3,0,260,0,Low
Sunnyside,QUEENS,Spring,90,3,1,260,0,Low
Sunnyside,QUEENS,Summer,105,3,2,260,0,Low
Sunnyside,QUEENS,Winter,70,3,3,260,0,Low
Sunnyside,STATEN ISLAND,Fall,4,4,0,260,0,Low
Sunnyside,STATEN ISLAND,Spring,7,4,1,260,0,Low
Sunnyside,STATEN ISLAND,Summer,19,4,2,260,0,Low
Sunnyside,STATEN ISLAND,Winter,2,4,3,260,0,Low
Sunset Park,BROOKLYN,Fall,473,1,0,261,1,Medium
Sunset Park,BROOKLYN,Spring,775,1,1,261,2,High
Sunset Park,BROOKLYN,Summer,737,1,2,261,2,High
Sunset Park,BROOKLYN,Winter,384,1,3,261,1,Medium
Sutton Place,MANHATTAN,Fall,7,2,0,262,1,Medium
Sutton Place,MANHATTAN,Spring,4,2,1,262,0,Low
Sutton Place,MANHATTAN,Summer,13,2,2,262,0,Low
Sutton Place,MANHATTAN,Winter,4,2,3,262,0,Low
The Bronx,BRONX,Fall,7,0,0,263,1,Medium
The Bronx,BRONX,Spring,3,0,1,263,1,Medium
The Bronx,BRONX,Summer,8,0,2,263,1,Medium
The Bronx,BRONX,Winter,3,0,3,263,1,Medium
The Bronx,MANHATTAN,Fall,1,2,0,263,1,Medium
The Bronx,QUEENS,Summer,1,3,2,263,0,Low
Theater District,MANHATTAN,Fall,23,2,0,264,1,Medium
Theater District,MANHATTAN,Spring,25,2,1,264,0,Low
Theater District,MANHATTAN,Summer,13,2,2,264,0,Low
Theater District,MANHATTAN,Winter,15,2,3,264,0,Low
Todt Hill,STATEN ISLAND,Fall,1,4,0,265,0,Low
Todt Hill,STATEN ISLAND,Spring,6,4,1,265,0,Low
Todt Hill,STATEN ISLAND,Summer,16,4,2,265,0,Low
Todt Hill,STATEN ISLAND,Winter,5,4,3,265,0,Low
Tottenville,STATEN ISLAND,Fall,13,4,0,266,0,Low
Tottenville,STATEN ISLAND,Spring,10,4,1,266,0,Low
Tottenville,STATEN ISLAND,Summer,20,4,2,266,0,Low
Tottenville,STATEN ISLAND,Winter,6,4,3,266,0,Low
Travis - Chelsea,STATEN ISLAND,Fall,4,4,0,267,0,Low
Travis - Chelsea,STATEN ISLAND,Spring,10,4,1,267,0,Low
Travis - Chelsea,STATEN ISLAND,Summer,15,4,2,267,0,Low
Travis - Chelsea,STATEN ISLAND,Winter,7,4,3,267,0,Low
Tribeca,MANHATTAN,Fall,96,2,0,268,1,Medium
Tribeca,MANHATTAN,Spring,87,2,1,268,0,Low
Tribeca,MANHATTAN,Summer,126,2,2,268,0,Low
Tribeca,MANHATTAN,Winter,32,2,3,268,0,Low
Tudor City,MANHATTAN,Fall,7,2,0,269,1,Medium
Tudor City,MANHATTAN,Spring,5,2,1,269,0,Low
Tudor City,MANHATTAN,Summer,9,2,2,269,0,Low
Tudor City,MANHATTAN,Winter,4,2,3,269,0,Low
Two Bridges,MANHATTAN,Fall,58,2,0,270,1,Medium
Two Bridges,MANHATTAN,Spring,56,2,1,270,0,Low
Two Bridges,MANHATTAN,Summer,77,2,2,270,0,Low
Two Bridges,MANHATTAN,Winter,57,2,3,270,0,Low
Ukrainian Village,MANHATTAN,Fall,241,2,0,271,1,Medium
Ukrainian Village,MANHATTAN,Spring,313,2,1,271,1,Medium
Ukrainian Village,MANHATTAN,Summer,245,2,2,271,0,Low
Ukrainian Village,MANHATTAN,Winter,205,2,3,271,0,Low
Union Square,MANHATTAN,Fall,9,2,0,272,1,Medium
Union Square,MANHATTAN,Spring,23,2,1,272,0,Low
Union Square,MANHATTAN,Summer,13,2,2,272,0,Low
Union Square,MANHATTAN,Winter,14,2,3,272,0,Low
University Heights,BRONX,Fall,110,0,0,273,1,Medium
University Heights,BRONX,Spring,137,0,1,273,1,Medium
University Heights,BRONX,Summer,148,0,2,273,1,Medium
University Heights,BRONX,Winter,97,0,3,273,1,Medium
Upper East Side,MANHATTAN,Fall,155,2,0,274,1,Medium
Upper East Side,MANHATTAN,Spring,151,2,1,274,0,Low
Upper East Side,MANHATTAN,Summer,201,2,2,274,0,Low
Upper East Side,MANHATTAN,Winter,100,2,3,274,0,Low
Upper Manhattan,MANHATTAN,Fall,2,2,0,275,1,Medium
Upper Manhattan,MANHATTAN,Spring,5,2,1,275,0,Low
Upper Manhattan,MANHATTAN,Summer,9,2,2,275,0,Low
Upper Manhattan,MANHATTAN,Winter,1,2,3,275,0,Low
Upper West Side,MANHATTAN,Fall,185,2,0,276,1,Medium
Upper West Side,MANHATTAN,Spring,229,2,1,276,1,Medium
Upper West Side,MANHATTAN,Summer,240,2,2,276,0,Low
Upper West Side,MANHATTAN,Winter,170,2,3,276,0,Low
Van Nest,BRONX,Fall,99,0,0,277,1,Medium
Van Nest,BRONX,Spring,135,0,1,277,1,Medium
Van Nest,BRONX,Summer,111,0,2,277,1,Medium
Van Nest,BRONX,Winter,75,0,3,277,1,Medium
Village greens,STATEN ISLAND,Fall,4,4,0,278,0,Low
Village greens,STATEN ISLAND,Spring,9,4,1,278,0,Low
Village greens,STATEN ISLAND,Summer,11,4,2,278,0,Low
Vinegar Hill,BROOKLYN,Fall,3,1,0,279,1,Medium
Vinegar Hill,BROOKLYN,Spring,5,1,1,279,1,Medium
Vinegar Hill,BROOKLYN,Summer,3,1,2,279,1,Medium
Vinegar Hill,MANHATTAN,Summer,1,2,2,279,0,Low
Washington Heights,MANHATTAN,Fall,294,2,0,280,1,Medium
Washington Heights,MANHATTAN,Spring,389,2,1,280,1,Medium
Washington Heights,MANHATTAN,Summer,310,2,2,280,0,Low
Washington Heights,MANHATTAN,Winter,322,2,3,280,0,Low
West Brighton,STATEN ISLAND,Fall,48,4,0,281,0,Low
West Brighton,STATEN ISLAND,Spring,50,4,1,281,0,Low
West Brighton,STATEN ISLAND,Summer,98,4,2,281,0,Low
West Brighton,STATEN ISLAND,Winter,29,4,3,281,0,Low
West Bronx,BRONX,Fall,773,0,0,282,2,High
West Bronx,BRONX,Spring,840,0,1,282,2,High
West Bronx,BRONX,Summer,941,0,2,282,2,High
West Bronx,BRONX,Winter,654,0,3,282,2,High
West Farms,BRONX,Fall,63,0,0,283,1,Medium
West Farms,BRONX,Spring,65,0,1,283,1,Medium
West Farms,BRONX,Summer,60,0,2,283,1,Medium
West Farms,BRONX,Winter,54,0,3,283,1,Medium
West Harlem,MANHATTAN,Fall,228,2,0,284,1,Medium
West Harlem,MANHATTAN,Spring,212,2,1,284,0,Low
West Harlem,MANHATTAN,Summer,261,2,2,284,0,Low
West Harlem,MANHATTAN,Winter,153,2,3,284,0,Low
West Village,MANHATTAN,Fall,223,2,0,285,1,Medium
West Village,MANHATTAN,Spring,222,2,1,285,0,Low
West Village,MANHATTAN,Summer,202,2,2,285,0,Low
West Village,MANHATTAN,Winter,161,2,3,285,0,Low
Westchester Square,BRONX,Fall,21,0,0,286,1,Medium
Westchester Square,BRONX,Spring,24,0,1,286,1,Medium
Westchester Square,BRONX,Summer,16,0,2,286,1,Medium
Westchester Square,BRONX,Winter,11,0,3,286,1,Medium
Whitestone,QUEENS,Fall,21,3,0,287,0,Low
Whitestone,QUEENS,Spring,33,3,1,287,0,Low
Whitestone,QUEENS,Summer,48,3,2,287,0,Low
Whitestone,QUEENS,Winter,14,3,3,287,0,Low
Willets Point,QUEENS,Spring,1,3,1,288,0,Low
Willets Point,QUEENS,Summer,1,3,2,288,0,Low
Williamsbridge,BRONX,Fall,138,0,0,289,1,Medium
Williamsbridge,BRONX,Spring,129,0,1,289,1,Medium
Williamsbridge,BRONX,Summer,152,0,2,289,1,Medium
Williamsbridge,BRONX,Winter,116,0,3,289,1,Medium
Williamsburg,BROOKLYN,Fall,520,1,0,290,1,Medium
Williamsburg,BROOKLYN,Spring,702,1,1,290,2,High
Williamsburg,BROOKLYN,Summer,753,1,2,290,2,High
Williamsburg,BROOKLYN,Winter,412,1,3,290,1,Medium
Windsor Terrace,BROOKLYN,Fall,67,1,0,291,1,Medium
Windsor Terrace,BROOKLYN,Spring,81,1,1,291,1,Medium
Windsor Terrace,BROOKLYN,Summer,92,1,2,291,1,Medium
Windsor Terrace,BROOKLYN,Winter,66,1,3,291,1,Medium
Woodhaven,BROOKLYN,Fall,1,1,0,292,1,Medium
Woodhaven,BROOKLYN,Spring,3,1,1,292,1,Medium
Woodhaven,BROOKLYN,Summer,3,1,2,292,1,Medium
Woodhaven,BROOKLYN,Winter,2,1,3,292,1,Medium
Woodhaven,QUEENS,Fall,9,3,0,292,0,Low
Woodhaven,QUEENS,Spring,15,3,1,292,0,Low
Woodhaven,QUEENS,Summer,30,3,2,292,0,Low
Woodhaven,QUEENS,Winter,14,3,3,292,0,Low
Woodrow,STATEN ISLAND,Fall,23,4,0,293,0,Low
Woodrow,STATEN ISLAND,Spring,53,4,1,293,0,Low
Woodrow,STATEN ISLAND,Summer,64,4,2,293,0,Low
Woodrow,STATEN ISLAND,Winter,5,4,3,293,0,Low
Woodside,QUEENS,Fall,173,3,0,294,0,Low
Woodside,QUEENS,Spring,182,3,1,294,0,Low
Woodside,QUEENS,Summer,189,3,2,294,0,Low
Woodside,QUEENS,Winter,122,3,3,294,0,Low
Woodstock,BRONX,Fall,212,0,0,295,1,Medium
Woodstock,BRONX,Spring,250,0,1,295,1,Medium
Woodstock,BRONX,Summer,233,0,2,295,1,Medium
Woodstock,BRONX,Winter,185,0,3,295,1,Medium
World Trade Center,MANHATTAN,Fall,2,2,0,296,1,Medium
World Trade Center,MANHATTAN,Spring,1,2,1,296,0,Low
World Trade Center,MANHATTAN,Summer,3,2,2,296,0,Low
World Trade Center,MANHATTAN,Winter,1,2,3,296,0,Low
Yorkville,MANHATTAN,Fall,593,2,0,297,1,Medium
Yorkville,MANHATTAN,Spring,691,2,1,297,2,High
Yorkville,MANHATTAN,Summer,674,2,2,297,2,High
Yorkville,MANHATTAN,Winter,458,2,3,297,0,Low
